,x1_len,x2_len,jac,label
0,13,17,0.625,0.0
1,13,9,0.0,1.0
2,13,7,0.0,1.0
3,13,11,0.0,0.0
4,13,13,0.42857142857142855,0.0
5,13,13,0.42857142857142855,0.0
6,13,13,0.42857142857142855,0.0
7,13,13,0.42857142857142855,0.0
8,13,13,0.42857142857142855,0.0
9,13,13,0.42857142857142855,0.0
10,13,13,0.42857142857142855,0.0
11,13,13,0.42857142857142855,0.0
12,13,13,0.42857142857142855,0.0
13,13,13,0.42857142857142855,0.0
14,13,13,0.42857142857142855,0.0
15,13,13,0.42857142857142855,0.0
16,13,9,0.0,1.0
17,13,9,0.0,1.0
18,13,9,0.0,1.0
19,13,9,0.0,1.0
20,13,9,0.0,1.0
21,13,9,0.0,1.0
22,13,17,0.3,0.0
23,13,17,0.3,0.0
24,13,17,0.3,0.0
25,13,17,0.3,0.0
26,13,17,0.3,0.0
27,13,17,0.3,0.0
28,13,6,0.0,1.0
29,13,4,0.0,1.0
30,13,22,0.23076923076923078,0.0
31,13,4,0.0,1.0
32,13,4,0.0,1.0
33,13,7,0.0,1.0
34,13,7,0.0,1.0
35,13,7,0.0,1.0
36,13,5,0.0,1.0
37,13,4,0.0,1.0
38,13,8,0.0,1.0
39,13,8,0.0,1.0
40,13,8,0.0,1.0
41,13,8,0.0,1.0
42,13,8,0.0,1.0
43,13,8,0.0,1.0
44,13,11,0.1111111111111111,1.0
45,13,11,0.1111111111111111,1.0
46,13,11,0.1111111111111111,1.0
47,13,11,0.1111111111111111,1.0
48,13,11,0.1111111111111111,1.0
49,13,11,0.1111111111111111,1.0
50,13,6,0.0,1.0
51,13,16,0.3333333333333333,0.0
52,13,4,0.0,1.0
53,13,6,0.0,1.0
54,13,6,0.0,1.0
55,13,6,0.0,1.0
56,13,13,0.42857142857142855,0.0
57,13,13,0.42857142857142855,0.0
58,13,13,0.42857142857142855,0.0
59,13,13,0.42857142857142855,0.0
60,13,13,0.42857142857142855,0.0
61,13,13,0.42857142857142855,0.0
62,13,14,0.2857142857142857,0.0
63,13,4,0.0,1.0
64,13,4,0.0,0.0
65,13,4,0.0,0.0
66,13,4,0.0,0.0
67,13,4,0.0,0.0
68,13,4,0.0,0.0
69,13,4,0.0,0.0
70,13,11,0.0,1.0
71,13,11,0.0,1.0
72,13,11,0.0,1.0
73,13,11,0.0,1.0
74,13,11,0.0,1.0
75,13,11,0.0,1.0
76,13,6,0.0,1.0
77,13,18,0.3,0.0
78,13,13,0.42857142857142855,0.0
79,13,13,0.42857142857142855,0.0
80,13,13,0.42857142857142855,0.0
81,13,13,0.42857142857142855,0.0
82,13,13,0.42857142857142855,0.0
83,13,13,0.42857142857142855,0.0
84,13,14,0.375,0.0
85,13,5,0.0,1.0
86,13,13,0.42857142857142855,0.0
87,13,13,0.42857142857142855,0.0
88,13,13,0.42857142857142855,0.0
89,13,13,0.42857142857142855,0.0
